part_number,difficulty,estimated_time_minutes,tools_required,video_url,pdf_url,chromadb_doc_id
PS8727352,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8727352
PS8733632,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8733632
PS8697067,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8697067
PS17137081,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS17137081
PS16217024,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=qJbNy0AvfBs,,install_PS16217024
PS18351367,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=OKPFZ1zxedc,,install_PS18351367
PS17873657,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS17873657
PS11700870,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11700870
PS16618974,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS16618974
PS17873321,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=rQLPFgVS2Eg,,install_PS17873321
PS11774412,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11774412
PS17137080,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS17137080
PS16729156,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS16729156
PS16745480,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=oqMZEzqV6SQ,,install_PS16745480
PS1990907,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=tO9TpDlwzJg,,install_PS1990907
PS17989584,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=n8YGM-yo6Dg,,install_PS17989584
PS11770489,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=rrwZ2PnkQkk,,install_PS11770489
PS6447681,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=HM6Ah5fgXz0,,install_PS6447681
PS12703061,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=YONrfxwl5Hc,,install_PS12703061
PS12741258,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12741258
PS16554611,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS16554611
PS16618942,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS16618942
PS11726733,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=DXgfi4JRprg,,install_PS11726733
PS12578165,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=VfCvT80e0hc,,install_PS12578165
PS11746245,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=GmjPRtwJUq0,,install_PS11746245
PS11756150,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11756150
PS11750057,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11750057
PS10064063,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=9bsgL4OExLo,,install_PS10064063
PS11750071,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=Z-etBPckwcA,,install_PS11750071
PS11748190,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=I-Koizat7Os,,install_PS11748190
PS17219659,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=RRYTtxROjwg,,install_PS17219659
PS8689824,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=s04rGbNOgc4,,install_PS8689824
PS12081829,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12081829
PS12075858,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12075858
PS3524406,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS3524406
PS12081830,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12081830
PS16621806,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS16621806
PS12075784,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12075784
PS3524564,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS3524564
PS17267570,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS17267570
PS7788355,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS7788355
PS3579323,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS3579323
PS11756470,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=BEipnBWNG20,,install_PS11756470
PS421128,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=sR1vFdRToA4,,install_PS421128
